SOMAID,Gene,UniProt,Weight,seqid_sl,seqid_dot
IGSF11.10700.10.3,IGSF11,Q5DX21,-0.130507655,SL017271,9279.7
GGH.9370.69.3,GGH,Q92820,-0.129275926,SL006682,9370.69
LAMA1.LAMB1.LAMC1.2728.62.2,LAMA1_LAMB1_LAMC1,,0.125721189,LAMA1.LAMB1.LAMC1.2728.62.2,
CD300C.5066.134.3,CD300C,Q08708,-0.118746068,SL014270,5066.134
EPHA10.6036.78.3,EPHA10,Q5JZY3,-0.118354062,SL014294,6036.78
CSNK2A1.5224.20.3,CSNK2A1,P68400,-0.118056358,SL007324,5224.2
PRL.2585.2.5,PRL,P01236,-0.117584481,SL000546,2585.2
PLXNC1.4564.2.2,PLXNC1,O60486,0.117292995,SL006406,4564.2
PRNP.6545.58.3,PRNP,P04156,0.116716748,SL007074,6545.58
SIT1.11194.6.3,SIT1,Q9Y3P8,-0.115722053,SL007783,11194.6
C10orf54.14123.34.3,C10orf54,,-0.115216159,C10orf54.14123.34.3,
CXADR.11204.80.3,CXADR,P78310,-0.115049275,SL009892,11204.8
GOLM1.8983.7.3,GOLM1,Q8NBJ4,-0.113946865,SL010628,8983.7
FN1.3435.53.2,FN1,P02751,0.113240607,SL000426,4131.72
CHI3L1.11104.13.3,CHI3L1,P36222,0.111643799,SL003340,11104.13
TNFRSF4.3730.81.2,TNFRSF4,P43489,-0.111223925,SL011448,3730.81
AMH.4923.79.1,AMH,P03971,0.11111477,SL005201,4923.79
CD3E.8069.85.3,CD3E,P07766,0.110921129,SL007084,8069.85
SEMA3E.5363.51.3,SEMA3E,O15041,0.110320296,SL010470,5363.51
PTH.5954.62.3,PTH,P01270,0.110204828,SL003970,5954.62
AGER.4125.52.2,AGER,Q15109,-0.109138886,SL003680,4125.52
PIGR.3216.2.2,PIGR,P01833,-0.108714415,SL005797,3216.2
FAM151A.7856.51.3,FAM151A,Q8WW52,-0.108340322,SL018294,7856.51
ASGR2.9474.22.3,ASGR2,P07307,-0.10646836,SL008489,9474.22
ERBB3.2617.56.35,ERBB3,P21860,-0.105203011,SL002519,2617.56
SERPINF1.9211.19.3,SERPINF1,P36955,-0.103473223,SL003066,9211.19
RNASEH1.8470.213.3,RNASEH1,O60930,-0.102741308,SL017528,8470.213
SPTAN1.5031.10.1,SPTAN1,Q13813,-0.102629664,SL008190,5031.1
FAM174A.6597.24.3,FAM174A,Q8TBP5,0.102122508,SL008903,6597.24
KCNE5.8908.14.3,KCNE5,Q9UJ90,0.101179814,SL008542,8908.14
KIR2DS2.10428.1.3,KIR2DS2,P43631,0.100852275,SL018045,10428.1
GJD2.11678.105.3,GJD2,Q9UKL4,-0.0995741,SL019586,11678.105
PLA2G2A.2692.74.2,PLA2G2A,P14555,-0.097667214,SL002528,2692.74
PIANP.9599.6.3,PIANP,Q8IYJ0,-0.097663313,SL019019,9599.6
CALR.5264.65.3,CALR,P27797,-0.095809523,SL003520,5264.65
IL19.3035.80.2,IL19,Q9UHD0,-0.094207606,SL004354,3035.8
SECTM1.13093.6.3,SECTM1,Q8WVN6,-0.094047137,SL005430,13093.6
MAGI2.14066.49.3,MAGI2,Q86UL8,0.093011118,SL020306,14066.49
CYP3A4.2943.5.2,CYP3A4,P08684,0.092995753,SL000398,7879.12
CGA.CGB.4914.10.1,CGA,P01215,0.092543316,SL013948,14056.4
KCNE2.10427.2.3,KCNE2,,-0.092468137,KCNE2.10427.2.3,
IGLL1.6485.59.3,IGLL1,P15814,-0.092323879,SL008517,6485.59
ASIP.5676.54.3,ASIP,P42127,0.091515416,SL012436,5676.54
CHGA.8476.11.3,CHGA,P10645,0.090634469,SL002762,8476.11
MUSK.11547.84.3,MUSK,O15146,0.089148132,SL019518,11547.84
ERO1LB.7994.41.3,ERO1LB,,-0.088701658,ERO1LB.7994.41.3,
ICAM4.6550.4.3,ICAM4,Q14773,0.087480364,SL010843,9461.2
CTXN3.10467.58.3,CTXN3,,-0.087254764,CTXN3.10467.58.3,
CCL21.2516.57.3,CCL21,O00585,-0.087177853,SL003193,2516.57
ULBP3.2747.3.2,ULBP3,Q9BZM4,-0.08673785,SL005229,2747.3
EPHA1.3431.54.2,EPHA1,P21709,0.086350196,SL004137,3431.54
ENTPD6.8932.1.3,ENTPD6,O75354,-0.085870682,SL014128,8932.1
TMEM132C.7173.141.3,TMEM132C,Q8N3T6,-0.085706294,SL018134,7173.141
CST7.3302.58.1,CST7,O76096,-0.085314379,SL007049,3302.58
IL15RA.14054.17.3,IL15RA,Q13261,0.085079247,SL004151,3445.53
EPHB2.8225.86.3,EPHB2,P29323,-0.085051536,SL007179,8348.4
PRCP.5722.78.3,PRCP,P42785,0.082659652,SL009198,5722.78
H6PD.7161.25.3,H6PD,O95479,-0.082392163,SL018068,7161.25
PCDHAC2.9361.7.3,PCDHAC2,Q9Y5I4,-0.081488817,SL017393,9361.7
MGAT1.10571.14.3,MGAT1,P26572,-0.080976072,SL018096,10571.14
GAS1.5463.22.3,GAS1,P54826,-0.080741434,SL000658,5463.22
NPS.6390.18.3,NPS,P0C0P6,0.080464162,SL012413,6390.18
KIRREL2.9917.16.3,KIRREL2,Q6UWL6,-0.080304893,SL012592,7958.15
MPZ.10615.18.3,MPZ,P25189,-0.080118993,SL008066,10615.18
TNFRSF17.2665.26.2,TNFRSF17,Q02223,-0.07991399,SL004672,2665.26
PPT1.9244.27.3,PPT1,P50897,-0.078512433,SL012440,9244.27
UBE2J2.8802.24.3,UBE2J2,,-0.078209506,UBE2J2.8802.24.3,
PF4V1.5663.18.3,PF4V1,P10720,-0.078092378,SL007105,5663.18
ROBO1.5740.17.3,ROBO1,Q9Y6N7,-0.076203488,SL013095,5740.17
PSG5.9314.9.3,PSG5,Q15238,0.07559323,SL012504,9314.9
VAMP8.7064.2.4,VAMP8,Q9BV40,0.073779675,SL008698,7064.2
PENK.9076.25.3,PENK,P01210,0.073705836,SL008353,9076.25
ALDOC.9876.20.3,ALDOC,P09972,-0.072554383,SL004727,9876.2
NRXN3.5111.15.3,NRXN3,Q9HDB5,0.071740863,SL008728,5111.15
B4GALT6.10832.24.3,B4GALT6,Q9UBX8,0.071094938,SL018597,10832.24
RETN.3046.31.1,RETN,Q9HD89,-0.069701905,SL004260,3046.31
SFRP1.3221.54.1,SFRP1,Q8N474,0.069680247,SL003770,3221.54
LEPR.9566.103.3,LEPR,P48357,-0.068904954,SL003184,5400.52
SERPINF2.3024.18.2,SERPINF2,P08697,-0.06859919,SL000250,3024.18
KIAA1467.7892.132.3,KIAA1467,,-0.068581102,KIAA1467.7892.132.3,
TOM1L1.13652.2.3,TOM1L1,O75674,-0.066801836,SL020197,13652.2
PRTN3.13720.95.3,PRTN3,P24158,-0.066502368,SL004008,3514.49
ENPP7.4435.66.2,ENPP7,Q6UWV6,0.06615701,SL009045,4435.66
CRISP2.9282.12.3,CRISP2,P16562,0.065963769,SL009427,9282.12
TOR1AIP2.10553.8.3,TOR1AIP2,Q8NFQ8,-0.065879796,SL017988,10553.8
SPINK13.10624.45.3,SPINK13,Q1W4C9,-0.065646232,SL018582,10624.45
GNRH2.10708.3.3,GNRH2,O43555,-0.065494243,SL007007,10708.3
DEFB104A.5763.67.3,DEFB104A,Q8WTQ1,0.06536772,SL004535,5763.67
TMEM132A.7871.16.3,TMEM132A,Q24JP5,-0.06521481,SL008988,7871.16
ITIH5.8233.2.3,ITIH5,Q86UX2,0.064886093,SL012651,8233.2
STX1B.6966.144.3,STX1B,P61266,0.064794443,SL017968,6966.144
GPC6.5350.14.2,GPC6,Q9Y625,0.064653915,SL012881,5350.14
CAV2.9457.3.3,CAV2,P51636,-0.064627938,SL014826,9457.3
PMEL.6472.40.3,PMEL,P40967,-0.062962165,SL002545,6472.4
CDSN.7085.81.3,CDSN,Q15517,0.062859251,SL011989,7085.81
CD300LF.5623.11.3,CD300LF,Q8TDQ1,0.062266188,SL012737,5623.11
TGFB1I1.8777.5.3,TGFB1I1,,-0.061400593,TGFB1I1.8777.5.3,
AHSG.3581.53.3,AHSG,P02765,-0.060466837,SL000251,3581.53
PTCHD3.13517.3.3,PTCHD3,Q3KNS1,-0.06043867,SL020152,13517.3
SIRPB1.6247.9.3,SIRPB1,O00241,0.060433186,SL008942,6247.9
NEFH.9900.36.3,NEFH,P12036,0.059531758,SL019163,9900.36
ETHE1.3847.56.2,ETHE1,O95571,-0.057371956,SL011532,3847.56
COL11A2.11278.4.3,COL11A2,P13942,-0.056228162,SL009488,11278.4
GUCA2B.6223.5.3,GUCA2B,Q16661,-0.055355873,SL008392,6223.5
RND1.13574.50.3,RND1,Q92730,0.054977364,SL020205,13574.5
XRCC4.9886.28.3,XRCC4,Q13426,-0.054579566,SL013824,9886.28
IL5RA.13686.2.3,IL5RA,Q01344,0.054047945,SL005188,4491.4
GRP.5897.58.3,GRP,P07492,-0.054022672,SL002071,8400.74
PYDC1.12835.101.3,PYDC1,Q8WXC3,0.053971676,SL019914,12835.101
RPLP2.10949.59.3,RPLP2,P05387,0.053685877,SL008009,10949.59
LIPN.8097.77.3,LIPN,Q5VXI9,0.053528163,SL018395,8097.77
C9orf89.7778.104.3,C9orf89,,-0.053082588,C9orf89.7778.104.3,
B3GALTL.5727.35.3,B3GALTL,,-0.052640282,B3GALTL.5727.35.3,
CXCL13.3487.32.2,CXCL13,O43927,-0.052159827,SL003167,3487.32
IL15RA.3445.53.2,IL15RA,Q13261,-0.051848665,SL004151,3445.53
CROT.13929.27.3,CROT,Q9UKG9,0.051847027,SL020289,13929.27
RTN4R.5105.2.3,RTN4R,Q9BZR6,0.05144951,SL005208,5105.2
CAPN2.14684.17.3,CAPN2,P17655,0.050809279,SL011179,14684.17
ARHGAP36.6289.78.3,ARHGAP36,Q6ZRI8,-0.050245665,SL017400,6289.78
FAH.11424.4.3,FAH,P16930,-0.048863844,SL008049,11424.4
NEURL1.13604.27.3,NEURL1,O76050,0.04867453,SL020194,13604.27
CCPG1.8889.5.3,CCPG1,Q9ULG6,-0.048282237,SL015334,8889.5
TST.12663.1.3,TST,Q16762,-0.047937474,SL011234,12663.1
PQLC2L.7939.1.3,PQLC2L,,-0.047935357,PQLC2L.7939.1.3,
PRC1.11591.43.3,PRC1,O43663,-0.046864008,SL007011,15310.61
TPST2.8024.64.3,TPST2,O60704,0.045971118,SL011109,8024.64
ELL2.11494.4.3,ELL2,O00472,0.044744571,SL019480,11494.4
HMGCS1.13496.19.3,HMGCS1,Q01581,-0.043590925,SL020125,13496.19
PLBD1.6315.58.3,PLBD1,Q6P4A8,0.042958168,SL017411,6315.58
IL12RB2.3815.14.1,IL12RB2,Q99665,-0.042738126,SL007620,3815.14
DEFB116.11144.10.3,DEFB116,Q30KQ4,-0.042696699,SL012527,11144.1
MFNG.5605.77.3,MFNG,O00587,0.04225229,SL006973,5605.77
EPHA5.3806.55.1,EPHA5,P54756,0.041918719,SL004844,3806.55
PPP1R3B.12768.3.3,PPP1R3B,Q86XI6,0.041665267,SL019887,12768.3
CDKN3.14178.18.3,CDKN3,Q16667,-0.041583399,SL007463,14178.18
GDF11.MSTN.2765.4.3,GDF11,O95390,-0.041083546,SL004345,14587.16
FASLG.3052.8.2,FASLG,P48023,-0.040861456,SL000633,3052.8
QSOX1.6070.11.3,QSOX1,O00391,-0.040000559,SL006394,6217.23
CAPN3.12385.4.3,CAPN3,P20807,-0.039860925,SL006471,12385.4
LEPR.5400.52.3,LEPR,P48357,0.039610581,SL003184,5400.52
PLOD2.6923.1.3,PLOD2,O00469,-0.039539346,SL012351,6923.1
PSMA1.3859.50.2,PSMA1,P25786,-0.038945426,SL010973,7880.9
POR.2731.29.2,POR,P16435,-0.038787955,SL000528,2731.29
TPST1.7928.183.3,TPST1,O60507,0.038612911,SL007023,7928.183
KIR3DS1.5097.14.3,KIR3DS1,Q14943,-0.038409829,SL014289,5097.14
CFAP45.6553.68.3,CFAP45,Q9UL16,-0.037473494,SL017495,6553.68
PSMB5.12580.7.3,PSMB5,P28074,-0.037058488,SL012949,12580.7
GLTPD2.7948.129.3,GLTPD2,A6NH11,0.036993098,SL010876,7948.129
TNFAIP6.5036.50.1,TNFAIP6,P98066,-0.036362989,SL004782,5036.5
CXCL12.3516.60.2,CXCL12,P48061,-0.035141243,SL004712,9278.9
