gene_simple,gene_tanaka,gene_lehallier,seqid_sl,seqid_dot,seqid_full
SPOP,,SPOP,,13727.44.3,SPOP.13727.44.3
DEFB112,,DEFB112,,5689.1.3,DEFB112.5689.1.3
MAPKAPK5,,MAPKAPK5,,3821.28.1,MAPKAPK5.3821.28.1
ARPP21,,ARPP21,,12860.7.3,ARPP21.12860.7.3
CTRB1,,CTRB1,,5671.1.3,CTRB1.5671.1.3
MMP2,,MMP2,,4160.49.1,MMP2.4160.49.1
PGRMC1,,PGRMC1,,7863.50.3,PGRMC1.7863.50.3
ANKRD27,,ANKRD27,,12445.50.3,ANKRD27.12445.50.3
GPLD1,,GPLD1,,11939.11.3,GPLD1.11939.11.3
PRSS2,,PRSS2,,5034.79.1,PRSS2.5034.79.1
ZP4,,ZP4,,7766.25.3,ZP4.7766.25.3
DSC3,,DSC3,,4981.6.1,DSC3.4981.6.1
TMEM52,,TMEM52,,11186.12.3,TMEM52.11186.12.3
NCR3LG1,,NCR3LG1,,7854.38.3,NCR3LG1.7854.38.3
RNF128,,RNF128,,6510.56.3,RNF128.6510.56.3
CAST,,CAST,,3026.5.2,CAST.3026.5.2
UQCRB,,UQCRB,,12957.62.3,UQCRB.12957.62.3
NDUFB11,,NDUFB11,,7747.47.3,NDUFB11.7747.47.3
NAALAD2,,NAALAD2,,7986.98.3,NAALAD2.7986.98.3
IL23R,,IL23R,,5088.175.3,IL23R.5088.175.3
ANP32A,,ANP32A,,13073.14.3,ANP32A.13073.14.3
NMRAL1,,NMRAL1,,13988.67.3,NMRAL1.13988.67.3
FAM107B,,FAM107B,,7801.30.3,FAM107B.7801.30.3
EFNB3,,EFNB3,,7785.1.3,EFNB3.7785.1.3
TMEM132D,,TMEM132D,,13416.8.3,TMEM132D.13416.8.3
KLK5,,KLK5,,14039.33.3,KLK5.14039.33.3
RELL1,,RELL1,,13399.33.3,RELL1.13399.33.3
FCRL4,,FCRL4,,8973.23.3,FCRL4.8973.23.3
PLA2G12B,,PLA2G12B,,9380.2.3,PLA2G12B.9380.2.3
FOLH1,,FOLH1,,5478.50.2,FOLH1.5478.50.2
CD177,,CD177,,13116.25.3,CD177.13116.25.3
IGFL4,,IGFL4,,6353.60.3,IGFL4.6353.60.3
AMY1A,,AMY1A,,7918.114.3,AMY1A.7918.114.3
GLO1,,GLO1,,9883.29.3,GLO1.9883.29.3
CGB2,,CGB2,,6213.10.3,CGB2.6213.10.3
