SOMAID,Gene,UniProt,Weight,seqid_sl,seqid_dot
10603-1,HTN3,P15516,2.2861172334085116e-05,SL012419,seq.10603.1
10605-22,APMAP,Q9HDC9,0.0,SL004748,seq.10605.22
10606-34,TOR1AIP1,Q5JTV8,1.5683454743580193e-05,SL018600,seq.10606.34
10608-9,HTN1,P15515,-0.048299123096670164,SL012418,seq.10608.9
10612-18,PLOD3,O60568,-0.005040835036129905,SL008694,seq.10612.18
10613-33,GOLM2,Q6P4E1,-0.0001266228606233625,SL018589,seq.10613.33
10615-18,MPZ,P25189,0.0,SL008066,seq.10615.18
10616-67,PODXL2,Q9NZ53,-0.03590753312518184,SL017477,seq.10616.67
10618-190,LRP2,P98164,-0.008215554739810747,SL004439,seq.10618.190
10620-21,MSMB,P08118,0.0,SL000548,seq.10620.21
10621-26,PRR16,Q569H4,0.003975519625997127,SL018592,seq.10621.26
10623-19,MUC1,P15941,0.0008452305036795804,SL000001,seq.10623.19
10624-45,SPINK13,Q1W4C9,-0.0009093354036291489,SL018582,seq.10624.45
10627-87,APLP2,Q06481,0.008328879949480865,SL007366,seq.10627.87
10630-5,HTATIP2,Q9BUP3,0.0,SL007633,seq.10630.5
10637-50,ELAPOR1,Q6UXG2,-0.010772303610994858,SL007494,seq.10637.50
10638-1,TINF2,Q9BSI4,-0.00015753822582075213,SL018685,seq.10638.1
10643-16,OLFM3,Q96PB7,-0.0022530610692441293,SL012572,seq.10643.16
10647-18,ASCC1,Q8N9N2,-0.0006504363965606153,SL017894,seq.10647.18
10663-42,INSIG1,O15503,0.00025056162490864393,SL018014,seq.10663.42
10666-7,GNPTG,Q9UJJ9,-5.010119004908237e-05,SL012791,seq.10666.7
10667-78,C1orf185,Q5T7R7,0.0,SL018036,seq.10667.78
10668-5,STX4,Q12846,0.009983599252413466,SL007377,seq.10668.5
10672-75,SFTPB,P07988,-0.0005548216597155031,SL004483,seq.10672.75
10693-43,KLRG2,A4D1S0,0.02843573085931074,SL018578,seq.10693.43
10695-12,WFDC10B,Q8IUB3,-0.0027745923704239946,SL012662,seq.10695.12
10699-52,LRP1,Q07954,0.0,SL018603,seq.10699.52
10700-10,IGSF11,Q5DX21,-3.213665869524498e-06,SL017271,seq.10700.10
10702-1,COL28A1,Q2UY09,-0.008348598313587773,SL012521,seq.10702.1
10703-203,SUDS3,Q9H7L9,0.0,SL006737,seq.10703.203
10704-91,IRAG2,Q12912,0.0005176058845487132,SL018605,seq.10704.91
10705-14,ST6GALNAC3,Q8NDV1,-0.002408938783188922,SL018611,seq.10705.14
10708-3,GNRH2,O43555,-0.006821224039050884,SL007007,seq.10708.3
10710-23,ZPBP2,Q6X784,0.0003952558809478538,SL012618,seq.10710.23
10713-151,CD300LB,A8K4G0,0.005573435799923486,SL017073,seq.10713.151
10714-7,ACE,P12821,-0.0008642054861431478,SL000269,seq.10714.7
10716-35,PSMD5,Q16401,-0.010375943073847245,SL010942,seq.10716.35
10721-76,HSPA1A,P0DMV8,0.0007064889969549517,SL000451,seq.10721.76
10722-13,SYK,P43405,0.0,SL007234,seq.10722.13
10731-10,HS3ST5,Q8IZT8,0.0,SL018028,seq.10731.10
10737-96,SERPINB1,P30740,-0.00012207889443173752,SL005397,seq.10737.96
10748-216,PCDHB2,Q9Y5E7,0.0,SL018468,seq.10748.216
10749-18,HSPA1A,P0DMV8,0.00012218110142932378,SL000451,seq.10749.18
10752-8,CDYL2,Q8N8U2,0.0,SL018591,seq.10752.8
10753-31,ADAM7,Q9H2U9,0.00293685566203999,SL018585,seq.10753.31
10754-113,PROK2,Q9HC23,-0.1159186947311346,SL005237,seq.10754.113
10756-34,UCN3,Q969E3,-0.00014594261147680282,SL012761,seq.10756.34
10758-2,KERA,O60938,0.0,SL012375,seq.10758.2
10760-107,GRIA4,P48058,0.0003817381040095373,SL018367,seq.10760.107
10761-5,TMED2,Q15363,0.0,SL006541,seq.10761.5
10762-2,KLRG2,A4D1S0,-0.007343840242169979,SL018578,seq.10762.2
10767-52,ADGRG2,Q8IZP9,0.0,SL018836,seq.10767.52
